timestamp,time_key,store_id,item_id,item_name,category,actual_sales
2026-05-05 19:51:52.711513,2026-05-05 19:00:00,1,I043,curd,dairy,493.6837580427376
2026-05-05 19:51:52.711526,2026-05-05 19:00:00,1,I096,dried fruit,snacks,455.4406573398957
2026-05-05 19:51:52.711527,2026-05-05 19:00:00,1,I100,pretzels,snacks,438.3916997660722
2026-05-05 19:51:52.711529,2026-05-05 19:00:00,1,I097,granola,snacks,410.8873510373246
2026-05-05 19:51:52.711530,2026-05-05 19:00:00,1,I098,cereal,snacks,201.42397866076217
2026-05-05 19:57:55.030917,2026-05-05 19:00:00,1,I043,curd,dairy,501.7258073958303
2026-05-05 19:57:55.030925,2026-05-05 19:00:00,1,I096,dried fruit,snacks,457.9415703893177
2026-05-05 19:57:55.030926,2026-05-05 19:00:00,1,I100,pretzels,snacks,454.6151901513724
2026-05-05 19:57:55.030928,2026-05-05 19:00:00,1,I097,granola,snacks,417.1837895961077
2026-05-05 19:57:55.030929,2026-05-05 19:00:00,1,I098,cereal,snacks,199.4502256375034
2026-05-05 20:00:07.555548,2026-05-05 20:00:00,1,I043,curd,dairy,497.59201451029236
2026-05-05 20:00:07.555556,2026-05-05 20:00:00,1,I096,dried fruit,snacks,464.8849382037985
2026-05-05 20:00:07.555558,2026-05-05 20:00:00,1,I100,pretzels,snacks,443.7773807176789
2026-05-05 20:00:07.555559,2026-05-05 20:00:00,1,I097,granola,snacks,409.78205138062157
2026-05-05 20:00:07.555560,2026-05-05 20:00:00,1,I098,cereal,snacks,201.91558414676538
2026-05-05 20:00:07.980417,2026-05-05 20:00:00,2,I097,granola,snacks,522.9548904806495
2026-05-05 20:00:07.980425,2026-05-05 20:00:00,2,I098,cereal,snacks,522.7464500016538
2026-05-05 20:00:07.980427,2026-05-05 20:00:00,2,I096,dried fruit,snacks,514.9963471021648
2026-05-05 20:00:07.980428,2026-05-05 20:00:00,2,I094,popcorn,snacks,525.1082254760715
2026-05-05 20:00:07.980429,2026-05-05 20:00:00,2,I100,pretzels,snacks,489.57202220209655
2026-05-05 20:00:07.980430,2026-05-05 20:00:00,2,I032,coconut,fruits,321.9083125683528
2026-05-05 20:00:08.371914,2026-05-05 20:00:00,3,I098,cereal,snacks,495.8903592968255
2026-05-05 20:00:08.371923,2026-05-05 20:00:00,3,I096,dried fruit,snacks,456.2632508002318
2026-05-05 20:00:08.371924,2026-05-05 20:00:00,3,I043,curd,dairy,442.44090876003804
2026-05-05 20:00:08.371925,2026-05-05 20:00:00,3,I094,popcorn,snacks,364.0326390089618
2026-05-05 20:00:08.371926,2026-05-05 20:00:00,3,I097,granola,snacks,299.2245116088126
2026-05-06 18:13:57.049861,2026-05-06 18:00:00,0,I098,cereal,snacks,138.40488988695301
2026-05-06 18:13:57.049890,2026-05-06 18:00:00,0,I097,granola,snacks,142.2377326399633
2026-05-06 18:13:57.049891,2026-05-06 18:00:00,0,I096,dried fruit,snacks,137.70094624951977
2026-05-06 18:13:57.049893,2026-05-06 18:00:00,0,I094,popcorn,snacks,129.6848137408941
2026-05-06 18:13:57.049894,2026-05-06 18:00:00,0,I100,pretzels,snacks,127.6811704352857
2026-05-06 18:13:57.049895,2026-05-06 18:00:00,0,I032,coconut,fruits,88.46182407706058
2026-05-06 18:14:06.758239,2026-05-06 18:00:00,0,I098,cereal,snacks,121.21124633284234
2026-05-06 18:14:06.758281,2026-05-06 18:00:00,0,I097,granola,snacks,122.7848898323217
2026-05-06 18:14:06.758282,2026-05-06 18:00:00,0,I096,dried fruit,snacks,134.92697780975132
2026-05-06 18:14:06.758283,2026-05-06 18:00:00,0,I094,popcorn,snacks,123.49894631654769
2026-05-06 18:14:06.758285,2026-05-06 18:00:00,0,I100,pretzels,snacks,106.12567875709813
2026-05-06 18:14:06.758286,2026-05-06 18:00:00,0,I043,curd,dairy,98.75267175515836
2026-05-06 18:18:29.132459,2026-05-06 18:00:00,0,I098,cereal,snacks,133.74934175666948
2026-05-06 18:18:29.132471,2026-05-06 18:00:00,0,I097,granola,snacks,130.91462399755235
2026-05-06 18:18:29.132473,2026-05-06 18:00:00,0,I096,dried fruit,snacks,141.22341031072696
2026-05-06 18:18:29.132475,2026-05-06 18:00:00,0,I094,popcorn,snacks,138.8579961799676
2026-05-06 18:18:29.132476,2026-05-06 18:00:00,0,I032,coconut,fruits,107.7402409529296
2026-05-06 18:18:50.238262,2026-05-06 18:00:00,0,I098,cereal,snacks,130.1162598142189
2026-05-06 18:18:50.238276,2026-05-06 18:00:00,0,I097,granola,snacks,133.8563009931903
2026-05-06 18:18:50.238278,2026-05-06 18:00:00,0,I096,dried fruit,snacks,138.98010745122852
2026-05-06 18:18:50.238280,2026-05-06 18:00:00,0,I094,popcorn,snacks,138.4143610169789
2026-05-06 18:18:50.238281,2026-05-06 18:00:00,0,I032,coconut,fruits,96.45660609723768
2026-05-07 01:13:16.690734,2026-05-07 01:00:00,1,I051,water,beverages,348.76472818668947
2026-05-07 01:13:16.690764,2026-05-07 01:00:00,1,I060,smoothie,beverages,338.14932020795175
2026-05-07 01:13:16.690766,2026-05-07 01:00:00,1,I057,sports drink,beverages,309.1903470073546
2026-05-07 01:13:16.690767,2026-05-07 01:00:00,1,I032,coconut,fruits,301.3802065791536
2026-05-07 01:13:16.690769,2026-05-07 01:00:00,1,I031,pomegranate,fruits,183.8099202285666
